Name,Introduced in version,Removed in version
algorithm,C++98,
any,C++17,
array,C++11,
atomic,C++11,
bitset,C++98,
charconv,C++17,
chrono,C++11,
codecvt,C++11,C++17
compare,C++20,
complex,C++98,
concepts,C++20,
condition_variable,C++11,
coroutine,C++20,
deque,C++98,
exception,C++98,
execution,C++17,
filesystem,C++17,
forward_list,C++11,
fstream,C++98,
functional,C++98,
future,C++11,
initializer_list,C++11,
iomanip,C++98,
ios,C++98,
iosfwd,C++98,
iostream,C++98,
istream,C++98,
iterator,C++98,
limits,C++98,
list,C++98,
locale,C++98,
map,C++98,
memory,C++98,
memory_resource,C++17,
mutex,C++11,
new,C++98,
numbers,C++20,
numeric,C++98,
optional,C++17,
ostream,C++98,
queue,C++98,
random,C++98,
ranges,C++20,
ratio,C++11,
regex,C++11,
scoped_allocator,C++11,
set,C++98,
shared_mutex,C++14,
sstream,C++98,
stack,C++98,
stdexcept,C++98,
streambuf,C++98,
string,C++98,
string_view,C++17,
strstream,C++98,
system_error,C++11,
thread,C++11,
tuple,C++11,
type_traits,C++11,
